iter	Passed	Remaining
541	1607	1358
542	1611	1356
543	1614	1353
544	1617	1350
545	1620	1347
546	1624	1345
547	1628	1342
548	1630	1339
549	1633	1336
550	1636	1333
551	1639	1330
552	1643	1328
553	1646	1325
554	1649	1322
555	1652	1319
556	1655	1316
557	1658	1313
558	1661	1310
559	1663	1307
560	1666	1304
561	1669	1301
562	1672	1297
563	1674	1294
564	1677	1291
565	1680	1288
566	1683	1285
567	1685	1282
568	1688	1278
569	1691	1276
570	1694	1272
571	1696	1269
572	1699	1266
573	1702	1263
574	1704	1260
575	1707	1257
576	1710	1253
577	1713	1250
578	1715	1247
579	1718	1244
580	1721	1241
581	1724	1238
582	1726	1235
583	1729	1232
584	1732	1228
585	1735	1225
586	1737	1222
587	1740	1219
588	1743	1216
589	1746	1213
590	1749	1210
591	1751	1207
592	1754	1204
593	1757	1201
594	1760	1198
595	1762	1195
596	1765	1191
597	1768	1188
598	1771	1185
599	1773	1182
600	1776	1179
601	1779	1176
602	1781	1173
603	1784	1169
604	1787	1166
605	1789	1163
606	1792	1160
607	1795	1157
608	1798	1154
609	1801	1151
610	1804	1148
611	1807	1145
612	1809	1142
613	1812	1139
614	1814	1136
615	1817	1132
616	1820	1129
617	1823	1127
618	1826	1124
619	1829	1121
620	1831	1117
621	1834	1115
622	1837	1112
623	1841	1109
624	1843	1106
625	1846	1103
626	1849	1100
627	1852	1097
628	1855	1094
629	1858	1091
630	1860	1088
631	1863	1085
632	1866	1081
633	1869	1079
634	1872	1076
635	1875	1073
636	1877	1070
637	1880	1067
638	1883	1064
639	1886	1060
640	1889	1058
641	1892	1055
642	1895	1052
643	1898	1049
644	1901	1046
645	1905	1044
646	1908	1041
647	1910	1038
648	1914	1035
649	1917	1032
650	1923	1031
651	1926	1028
652	1929	1025
653	1932	1022
654	1936	1019
655	1939	1017
656	1942	1013
657	1944	1010
658	1947	1007
659	1950	1004
660	1952	1001
661	1956	998
662	1959	995
663	1961	992
664	1964	989
665	1967	986
666	1971	984
667	1974	981
668	1977	978
669	1979	975
670	1982	972
671	1986	969
672	1989	966
673	1992	963
674	1994	960
675	1997	957
676	2000	954
677	2003	951
678	2005	948
679	2008	945
680	2011	942
681	2014	939
682	2017	936
683	2020	933
684	2022	930
685	2025	927
686	2028	923
687	2030	920
688	2033	917
689	2036	914
690	2038	911
691	2041	908
692	2044	905
693	2047	902
694	2049	899
695	2052	896
696	2055	893
697	2057	890
698	2060	887
699	2063	884
700	2065	881
701	2068	878
702	2071	875
703	2074	872
704	2077	869
705	2079	866
706	2082	863
707	2085	860
708	2088	857
709	2091	854
710	2093	851
711	2096	848
712	2099	845
713	2102	842
714	2104	839
715	2107	836
716	2110	833
717	2114	830
718	2116	827
719	2119	824
720	2122	821
721	2125	818
722	2128	815
723	2130	812
724	2133	809
725	2136	806
726	2139	803
727	2141	800
728	2145	797
729	2148	794
730	2151	791
731	2153	788
732	2156	785
733	2159	782
734	2162	779
735	2167	777
736	2170	774
737	2173	771
738	2176	768
739	2179	765
740	2182	762
741	2185	759
742	2188	756
743	2191	753
744	2193	750
745	2196	747
746	2199	745
747	2202	742
748	2205	739
749	2208	736
750	2210	733
751	2213	730
752	2216	727
753	2219	724
754	2222	721
755	2225	718
756	2228	715
757	2230	712
758	2233	709
759	2236	706
760	2239	703
761	2242	700
762	2244	697
763	2247	694
764	2250	691
765	2253	688
766	2256	685
767	2259	682
768	2261	679
769	2264	676
770	2267	673
771	2270	670
772	2273	667
773	2275	664
774	2278	661
775	2280	658
776	2283	655
777	2286	652
778	2289	649
779	2292	646
780	2295	643
781	2298	640
782	2300	637
783	2303	634
784	2306	631
785	2308	628
786	2311	625
787	2314	622
788	2317	619
789	2320	616
790	2323	613
791	2325	610
792	2328	607
793	2332	605
794	2335	602
795	2337	599
796	2340	596
797	2344	593
798	2349	590
799	2352	588
800	2355	585
801	2358	582
802	2361	579
803	2365	576
804	2367	573
805	2370	570
806	2373	567
807	2376	564
808	2379	561
809	2382	558
810	2385	555
811	2387	552
812	2390	549
813	2393	546
814	2396	543
815	2399	540
816	2401	537
817	2404	534
818	2407	531
819	2409	529
820	2412	526
821	2415	523
822	2417	520
823	2420	517
824	2423	514
825	2426	511
826	2428	508
827	2431	505
828	2433	502
829	2436	499
830	2439	496
831	2441	493
832	2444	490
833	2447	487
834	2450	484
835	2452	481
836	2455	478
837	2458	475
838	2461	472
839	2463	469
840	2466	466
841	2469	463
842	2471	460
843	2474	457
844	2477	454
845	2480	451
846	2482	448
847	2485	445
848	2487	442
849	2490	439
850	2493	436
851	2496	433
852	2498	430
853	2501	427
854	2504	424
855	2506	421
856	2509	418
857	2512	415
858	2514	412
859	2517	409
860	2520	406
861	2523	403
862	2526	401
863	2528	398
864	2531	395
865	2534	392
866	2537	389
867	2541	386
868	2545	383
869	2548	380
870	2550	377
871	2554	374
872	2556	371
873	2560	369
874	2563	366
875	2566	363
876	2569	360
877	2572	357
878	2575	354
879	2578	351
880	2581	348
881	2584	345
882	2586	342
883	2589	339
884	2592	336
885	2595	333
886	2597	330
887	2600	328
888	2603	325
889	2606	322
890	2609	319
891	2612	316
892	2614	313
893	2617	310
894	2620	307
895	2623	304
896	2625	301
897	2628	298
898	2631	295
899	2634	292
900	2636	289
901	2639	286
902	2642	283
903	2645	280
904	2647	277
905	2650	275
906	2653	272
907	2655	269
908	2658	266
909	2661	263
910	2663	260
911	2666	257
912	2669	254
913	2672	251
914	2674	248
915	2677	245
916	2680	242
917	2682	239
918	2685	236
919	2688	233
920	2690	230
921	2693	227
922	2696	224
923	2698	221
924	2701	219
925	2704	216
926	2707	213
927	2709	210
928	2712	207
929	2715	204
930	2718	201
931	2721	198
932	2724	195
933	2727	192
934	2730	189
935	2732	186
936	2735	183
937	2738	181
938	2742	178
939	2745	175
940	2748	172
941	2751	169
942	2754	166
943	2757	163
944	2759	160
945	2763	157
946	2766	154
947	2769	151
948	2773	149
949	2776	146
950	2779	143
951	2782	140
952	2784	137
953	2787	134
954	2790	131
955	2793	128
956	2796	125
957	2799	122
958	2802	119
959	2804	116
960	2807	113
961	2810	111
962	2813	108
963	2816	105
964	2819	102
965	2822	99
966	2824	96
967	2828	93
968	2830	90
969	2833	87
970	2836	84
971	2839	81
972	2842	78
973	2845	75
974	2848	73
975	2850	70
976	2853	67
977	2856	64
978	2859	61
979	2861	58
980	2864	55
981	2867	52
982	2870	49
983	2872	46
984	2875	43
985	2878	40
986	2881	37
987	2883	35
988	2886	32
989	2889	29
990	2892	26
991	2894	23
992	2897	20
993	2900	17
994	2903	14
995	2906	11
996	2909	8
997	2911	5
998	2914	2
999	2917	0
